id,url,doc_url,title,proponent,status,include
9466,https://va.mite.gov.it/it-IT/Oggetti/Info/9466,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9466/13895,"Progetto di Variante di cui all'Autorizzazione Unica, Rep. 392 Prot. n. 20746 del 04/06/2021, per la modifica del tracciato della linea elettrica interrata di collegamento del Cluster 1 Nord con la sottostazione elettrica (SSE).",EEC Solar Srl,Valutazione preliminare,YES
8696,https://va.mite.gov.it/it-IT/Oggetti/Info/8696,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/8696/12797,"Progetto di un impianto fotovoltaico da 24,76 MW denominato ""Macchiareddu 3"" oltre sistema di accumulo, di capacità pari a 100MWh (25MW di potenza in immissione), che sarà connesso alla rete elettrica in AT tramite un collegamento in antenna a 150/380 kV ad una nuova stazione elettrica della RTN a 380 kV da inserire in entra-esce sulla linea 380 kV ""Rumianca-Villasor""",EnergyMac3 s.r.l.,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),YES
7666,https://va.mite.gov.it/it-IT/Oggetti/Info/7666,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/7666/11120,"Interconnessione dei sistemi idrici collegamento Tirso-Flumendosa 4° Lotto collegamento Sulcis-Iglesiente - Linee di intervento ""A - Collegamenti Infrastrutturali"" e ""C - Valorizzazione idroelettrica dello schema di collegamento Tirso-Flumendosa-Campidano-Sulcis""",Ente Acque della Sardegna,Provvedimento Unico in materia Ambientale,YES
8940,https://va.mite.gov.it/it-IT/Oggetti/Info/8940,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/8940/13159,"Progetto per la realizzazione di un parco eolico offshore denominato ""Nora Energia 2"", e composto da 40 aerogeneratori, per una potenza di 600 MW, ubicato nello specchio di mare all'interno del Canale di Sardegna e a sud est del Golfo di Cagliari.",Nora Ventu S.r.l.,Definizione contenuti SIA (Scoping),YES
8080,https://va.mite.gov.it/it-IT/Oggetti/Info/8080,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/8080/11881,"Progetto di un parco eolico off-shore di tipo galleggiante denominato ""Sardegna 1"" della potenza complessiva di 555MW, costituito da 37 aereogeneratori della potenza di 15 MW, e delle relative opere di connessione alla Rete di Trasmissione Nazionale (RTN) da realizzarsi nel canale di Sardegna",Renexia S.p. A.,Definizione contenuti SIA (PNIEC-PNRR),YES
8081,https://va.mite.gov.it/it-IT/Oggetti/Info/8081,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/8081/11882,"Progetto di un parco eolico off-shore di tipo galleggiante denominato ""Sardegna 2"" della potenza complessiva di 825 MW, costituito da 55 aereogeneratori della potenza di 15 MW, e delle relative opere di connessione alla Rete di Trasmissione Nazionale (RTN) da realizzarsi nel canale di Sardegna",Renexia S.p. A.,Definizione contenuti SIA (PNIEC-PNRR),YES
10683,https://va.mite.gov.it/it-IT/Oggetti/Info/10683,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10683/15898,"Collegamento provvisorio mediante una stazione di transizione aereo-cavo attrezzata, da realizzarsi in asse alla linea RTN esistente AT a 220kV ""Sulcis-Rumianca""",SANDALIA SOLAR FARM S.R.L.,Valutazione preliminare,YES
11278,https://va.mite.gov.it/it-IT/Oggetti/Info/11278,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/11278/16954,progetto di Riassetto dell'alimentazione idropotabile del vasto hinterland cagliaritano - ID SAID_003,Abbanoa S.p.A.,Valutazione preliminare,YES
1694,https://va.mite.gov.it/it-IT/Oggetti/Info/1694,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/1694/13710,Metanizzazione Sardegna - tratto Sud,SNAM RETE GAS S.p.A.,Verifica di Ottemperanza,YES
1695,https://va.mite.gov.it/it-IT/Oggetti/Info/1695,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/1695/2957,"Gasdotto ""Sistema Trasporto Gas Naturale Sardegna - Centro Sud""",Società Gasdotti Italia S.p.A,Valutazione Impatto Ambientale,YES
